Coenti;Noenti;Cogrupo;Nogrupo
09989     ;BANCO NACIONAL DA HABITAÇÃO;     ;
10014     ;ACVAT- PREVIDENCIA S.A.;     ;
10031     ;VIVER PREVIDÊNCIA;     ;
10081     ;NEWPREV PREVIDÊNCIA PRIVADA S.A.;     ;
10103     ;ARCESP PREVIDÊNCIA PRIVADA;     ;
10120     ;EQUATORIAL PREVIDÊNCIA COMPLEMENTAR;     ;
10138     ;BAMÉRCIO S.A. PREVIDÊNCIA PRIVADA;     ;
10154     ;BBM-BRASIL PREVIDÊNCIA  PRIVADA  S/A;     ;
10235     ;CAPEMI-CX.PEC.PENS.E MONTEP.-BENEFICENTE;     ;
10332     ;COIFA PECÚLIOS E PENSÕES;     ;
10367     ;CREFISUL PREVIDÊNCIA PRIVADA S.A.        ;     ;
10413     ;FAMILIA BANDEIRANTE PREVIDÊNCIA PRIVADA ;     ;
10634     ;MONGERAL PREVIDÊNCIA PRIVADA;     ;
